feedback,sentiment,rating,char_length,word_length,clean_feedback,sentiment_encoded
Overall helpful staff and good service.,1,5,39,6,overall helpful staff and good service,1
Crowd management can be improved and nursing support staff can be increased in departments,1,3,90,14,crowd management can be improved and nursing support staff can be increased in departments,1
Worst hospital Only because of good doctor we came here except that each and every thing here is worst.,0,2,103,19,worst hospital only because of good doctor we came here except that each and every thing here is worst,0
Aster CMI is One of the best hospital with good facilities and the top consultants in the south India.,1,4,102,19,aster cmi is one of the best hospital with good facilities and the top consultants in the south india,1
I would strongly recommend this hospital to whoever wants top class treatment and best administrative services.,1,4,111,16,i would strongly recommend this hospital to whoever wants top class treatment and best administrative services,1
One of the best hospital with good facilities We had taken full body checkup for both Really good staff and friendly staff,1,5,122,22,one of the best hospital with good facilities we had taken full body checkup for both really good staff and friendly staff,1
We were in the general ward and there was no nurse call option provided,0,2,71,14,we were in the general ward and there was no nurse call option provided,0
Admitted for dengue treatment under doctor brunda madam doctor treated very well and helped me to get platlets improvement within a short time,1,4,142,23,admitted for dengue treatment under doctor brunda madam doctor treated very well and helped me to get platlets improvement within a short time,1
I got a positive vibes while leaving the hospital they provided get well soon card for me Excellent service treatment.,1,4,118,20,i got a positive vibes while leaving the hospital they provided get well soon card for me excellent service treatment,1
If you have enough money then you can choose this hospital There is no limit on looting patients here.,1,3,102,19,if you have enough money then you can choose this hospital there is no limit on looting patients here,1
For hospitization below is feedback Senior Doctors are good Jr Doctors are not sharing or responding for any queries,1,3,116,19,for hospitization below is feedback senior doctors are good jr doctors are not sharing or responding for any queries,1
Nurse station support is very poor we have to follow up for everything.,0,2,71,13,nurse station support is very poor we have to follow up for everything,0
They just say wait  doctor will come or test will start no proper data they have.,0,1,81,16,they just say wait doctor will come or test will start no proper data they have,0
Fantastic treatment doctor nagamalesh sir removed two blocks successfully and he made me very comfortable procedure time awesome support.,1,4,137,19,fantastic treatment doctor nagamalesh sir removed two blocks successfully and he made me very comfortable procedure time awesome support,1
Dr somshekar is the best He gave my mom a second life.,1,4,54,12,dr somshekar is the best he gave my mom a second life,1
Staff are friendly and excellent in whatever service they render.,1,5,65,10,staff are friendly and excellent in whatever service they render,1
This is an extremely expensive hospital which cannot be afforded without insurance.,1,3,83,12,this is an extremely expensive hospital which cannot be afforded without insurance,1
In patient care was great during the first few days Nursing team was very fast to respond and very friendly.,1,4,108,20,in patient care was great during the first few days nursing team was very fast to respond and very friendly,1
Regular visits by the doctors Excellent house keeping.,1,5,54,8,regular visits by the doctors excellent house keeping,1
The food takes a very long time to get delivered Food is again on the expensive side.,0,2,85,17,the food takes a very long time to get delivered food is again on the expensive side,0
A lot can improve in this place to make the experience great.,1,3,61,12,a lot can improve in this place to make the experience great,1
Itâ€™s been 7 months since the accident now and Iâ€™m back on my feet Thanks to Aster CMI for their good healthcare.,1,4,116,22,its been months since the accident now and im back on my feet thanks to aster cmi for their good healthcare,1
The registration experience was quick and hassle free The diagnostic labs are good too.,1,4,87,14,the registration experience was quick and hassle free the diagnostic labs are good too,1
Overall it is a good and clean hospital which makes it one of the most favorite hospitals for locals and international patients.,1,5,128,22,overall it is a good and clean hospital which makes it one of the most favorite hospitals for locals and international patients,1
The doctors are the best in the city along with great infrastructure makes this a preferred hospital for all.,1,4,109,19,the doctors are the best in the city along with great infrastructure makes this a preferred hospital for all,1
Had a very good experience with the hospital doctor Dr Brinda Dr Lokesh and surgeon Dr Santosh nu neuro.,1,5,104,19,had a very good experience with the hospital doctor dr brinda dr lokesh and surgeon dr santosh nu neuro,1
I was really happy and fully satisfied with the Pre Surgery preparations/ Surgery operations & post surgery care.,1,5,113,18,i was really happy and fully satisfied with the pre surgery preparations surgery operations post surgery care,1
My experience with the hospital was good overall.,1,5,49,8,my experience with the hospital was good overall,1
The hospital has good infrastructure and facilities.,1,4,52,7,the hospital has good infrastructure and facilities,1
When it comes to doctors they do have lots of well experienced and knowledgeable doctors.,1,4,89,15,when it comes to doctors they do have lots of well experienced and knowledgeable doctors,1
Special mention to exceptional nursing and other medical & non medical staff who were very caring and checking on the kid every now and then.,1,5,141,25,special mention to exceptional nursing and other medical non medical staff who were very caring and checking on the kid every now and then,1
Especially Mr Rajesh took care of mother like anything Whenever whatever we asked he had helped and arranged Great job,1,4,118,20,especially mr rajesh took care of mother like anything whenever whatever we asked he had helped and arranged great job,1
I recently had a positive experience at Aster CMI Hospital.,1,5,59,10,i recently had a positive experience at aster cmi hospital,1
I am so glad that we got a kidney transplant done for my wife in Aster Hospital I can say the best hospital with superb service.,1,4,128,26,i am so glad that we got a kidney transplant done for my wife in aster hospital i can say the best hospital with superb service,1
Overall the hospital has been following good maintanence and cleaning of the wards to ensure hygiene.,1,5,101,16,overall the hospital has been following good maintanence and cleaning of the wards to ensure hygiene,1
Visited the medical oncology department The consultation process was smooth Staff were polite and helpful.,1,4,106,15,visited the medical oncology department the consultation process was smooth staff were polite and helpful,1
Overall it was good treatment wise and the services Were also really good.,1,5,74,13,overall it was good treatment wise and the services were also really good,1
The entire Gynac department including fetal medicine OPD staff labor wards and nurses worked very efficiently and effectively throughout the time.,1,5,146,21,the entire gynac department including fetal medicine opd staff labor wards and nurses worked very efficiently and effectively throughout the time,1
My wife was given a complimentary massage post delivery which speeded up her recovery and was very relaxing for her.,1,4,116,20,my wife was given a complimentary massage post delivery which speeded up her recovery and was very relaxing for her,1
The staff also organised a surprise cake cutting for us as part of the celebration.,1,5,83,15,the staff also organised a surprise cake cutting for us as part of the celebration,1
The admission process was remarkably smooth reflecting the hospital's commitment to efficiency and patient comfort.,1,4,115,15,the admission process was remarkably smooth reflecting the hospitals commitment to efficiency and patient comfort,1
The staff mainted high level of professionalism and compassion making me feel well-cared-for throughout my stay.,1,4,112,16,the staff mainted high level of professionalism and compassion making me feel wellcaredfor throughout my stay,1
I Had good experience with Dr sanjay Bhatt who gives time for patients to understand their problem and provide the right medication and suggestion.,1,5,147,24,i had good experience with dr sanjay bhatt who gives time for patients to understand their problem and provide the right medication and suggestion,1
All good treatment from pediatric surgery team.,1,5,47,7,all good treatment from pediatric surgery team,1
Aster has been the place for all my medical needs They have one of best medical care that you can ever get.,1,5,107,22,aster has been the place for all my medical needs they have one of best medical care that you can ever get,1
The staff are caring and one of the most efficient hospital I have ever visited.,1,5,80,15,the staff are caring and one of the most efficient hospital i have ever visited,1
I had some issues in bed assignments probably due to patient load on the hospital.,1,3,82,15,i had some issues in bed assignments probably due to patient load on the hospital,1
The Nurses did an excellent job especially Manjari Payal and Moushmi who always attended with a smile when needed.,1,5,114,19,the nurses did an excellent job especially manjari payal and moushmi who always attended with a smile when needed,1
I believe the hospital is expensive compared to others.,1,3,55,9,i believe the hospital is expensive compared to others,1
the cost of hospital is more.,1,3,29,6,the cost of hospital is more,1
I would not like to recommend this hospital to anyone because of the bill they prepare at the time of discharge.,0,2,112,21,i would not like to recommend this hospital to anyone because of the bill they prepare at the time of discharge,0
I had a single private room but was not cleaned and the staff was very rude,0,1,75,16,i had a single private room but was not cleaned and the staff was very rude,0
the food is not tasty and is not made well This can definitely improve,0,2,70,14,the food is not tasty and is not made well this can definitely improve,0
my wife during the treatment Got great support from the overall medical team.,1,4,77,13,my wife during the treatment got great support from the overall medical team,1
Only concern is with the admission process and canteen  It needs to be improved.,1,3,80,14,only concern is with the admission process and canteen it needs to be improved,1
Came to the Radiology department for my wifeâ€™s MRI and CT Scan it was done in a quickly and very positive way.,1,4,112,22,came to the radiology department for my wifes mri and ct scan it was done in a quickly and very positive way,1
I am extremely happy the way she is helping me in my weight loss journey.,1,5,73,15,i am extremely happy the way she is helping me in my weight loss journey,1
I requested to provide more staff in general ward.,1,3,50,9,i requested to provide more staff in general ward,1
The nurses staffs food service general ward rooms facility were excellent.,1,5,74,11,the nurses staffs food service general ward rooms facility were excellent,1
Admitted one day for the medical observation 1 week before delivery All process again was very smooth.,1,4,102,17,admitted one day for the medical observation week before delivery all process again was very smooth,1
All producers has been taken very carefully and neat and smooth.,1,4,64,11,all producers has been taken very carefully and neat and smooth,1
Shridhara s from nursing team has given immense support and happy for him.,1,4,74,13,shridhara s from nursing team has given immense support and happy for him,1
Gynecologist Bhavani madam is good treating communication and treatment all is v good,1,5,85,13,gynecologist bhavani madam is good treating communication and treatment all is v good,1
the poor can't afford this hospital in my opinion If you have medical insurance then it's easy.,1,3,95,17,the poor cant afford this hospital in my opinion if you have medical insurance then its easy,1
To the neuro ICU nurses 5th floor nurses (shout to Samima and Full) thank you You did a great job.,1,4,98,20,to the neuro icu nurses th floor nurses shout to samima and full thank you you did a great job,1
Everything is so well coordinated I am definitely a happy patient.,1,5,66,11,everything is so well coordinated i am definitely a happy patient,1
staff and nurses  are quite arrogant and rude they are not at all punctual and I believe if there was a serious emergency they would still come late.,0,2,149,28,staff and nurses are quite arrogant and rude they are not at all punctual and i believe if there was a serious emergency they would still come late,0
the amount we are paying is not worth it at all.,0,2,48,11,the amount we are paying is not worth it at all,0
My baby got admitted in hospital and the treatment was good as well as security were kind and polite especially Sangeeta and Shraddha.,1,4,134,23,my baby got admitted in hospital and the treatment was good as well as security were kind and polite especially sangeeta and shraddha,1
staff and Nurse services is worst we are only to beg to treat patient and inform to give tablets to patient.,0,2,108,21,staff and nurse services is worst we are only to beg to treat patient and inform to give tablets to patient,0
Many other doctors and support team has helped us to over come this situation.,1,5,78,14,many other doctors and support team has helped us to over come this situation,1
if the nurses donâ€™t know how to do their job they shouldnâ€™t be allowed to work near a patient.,0,1,98,19,if the nurses dont know how to do their job they shouldnt be allowed to work near a patient,0
Hospital is very clean and good and doctor Mr Ravikumar C P is treats our baby within 3days our baby felt better and she became active.,1,4,135,26,hospital is very clean and good and doctor mr ravikumar c p is treats our baby within days our baby felt better and she became active,1
One of the best hospital and good response from Dr I m happy to the service and securities Nice to see they are Communication with attendees.,1,5,141,26,one of the best hospital and good response from dr i m happy to the service and securities nice to see they are communication with attendees,1
Staff is prompt in their services Excellent team Special thanks to Venamma Taken good care clean place.,1,4,103,17,staff is prompt in their services excellent team special thanks to venamma taken good care clean place,1
Very bad experience.,0,2,20,3,very bad experience,0
people who handle insurance are VERY CARELESS They donâ€™t even bother about the tension and emergencies of the patient.,0,2,120,19,people who handle insurance are very careless they dont even bother about the tension and emergencies of the patient,0
They always give WRONG communications This is really a very sad part about the hospital.,0,1,88,15,they always give wrong communications this is really a very sad part about the hospital,0
We are very happy about the treatment provided technology and doctors advice and concern towards patients in ASTER CMI HOSPITAL.,1,4,128,20,we are very happy about the treatment provided technology and doctors advice and concern towards patients in aster cmi hospital,1
Worst Experience in Aster CMI hospital,0,2,38,6,worst experience in aster cmi hospital,0
She was exceptionally well in handling patients By her soothing words she made worried patients comfortable.,1,4,108,16,she was exceptionally well in handling patients by her soothing words she made worried patients comfortable,1
They are misleading people by not informing about the terms and conditions properly.,0,2,84,13,they are misleading people by not informing about the terms and conditions properly,0
The surgery went really well and the recovery is nice as of now.,1,5,64,13,the surgery went really well and the recovery is nice as of now,1
Worst hospital to follow up Even tried walkin appointment but doctor will not take walkin people.,0,2,97,16,worst hospital to follow up even tried walkin appointment but doctor will not take walkin people,0
Nursing care given by nurses during all the shifts was good.,1,4,60,11,nursing care given by nurses during all the shifts was good,1
The support service team was also good in their work Overall the experience was really good and once again thanks to the entire aster team,1,5,138,25,the support service team was also good in their work overall the experience was really good and once again thanks to the entire aster team,1
Worst hospital and management,0,2,29,4,worst hospital and management,0
The staff is not at all helpful and do not give clear instructions,0,1,66,13,the staff is not at all helpful and do not give clear instructions,0
I also waited for one hour with a confirmed appointment and the lady at the reception  was very very rude,0,2,105,20,i also waited for one hour with a confirmed appointment and the lady at the reception was very very rude,0
This has been the worst experience with a hospital across India,0,1,63,11,this has been the worst experience with a hospital across india,0
Many thanks to all Staff Even they celebrated my daughter's birthday & senior doctor Harish also participated in it.,1,4,116,19,many thanks to all staff even they celebrated my daughters birthday senior doctor harish also participated in it,1
The other services are good but REHAB is horrible please rectify this fault.,1,3,76,13,the other services are good but rehab is horrible please rectify this fault,1
Horrible food Worst food among all the hospitals I know of in Bangalore.,0,2,72,13,horrible food worst food among all the hospitals i know of in bangalore,0
Very unresponsive housekeeping staff They will come to clean and replace the sheets at 5 am when the patient is sleeping,0,2,120,21,very unresponsive housekeeping staff they will come to clean and replace the sheets at am when the patient is sleeping,0
Exhaust fan in the bathroom was not working This is safety issue if you have to use the bathroom after another sick patient.,0,1,124,23,exhaust fan in the bathroom was not working this is safety issue if you have to use the bathroom after another sick patient,0
Overall the hospital is very expensive for the kind of services and amenities provided.,1,4,87,14,overall the hospital is very expensive for the kind of services and amenities provided,1
I could easily say Aster CMI is the best hospital for children in entire Bangalore.,1,4,83,15,i could easily say aster cmi is the best hospital for children in entire bangalore,1
Dr Sapna Lulla was very nice everything was very smooth.,1,4,56,10,dr sapna lulla was very nice everything was very smooth,1
Very convenient good parking space Fast service in the reception Well educated / experienced doctors Lab test on time.,1,5,118,19,very convenient good parking space fast service in the reception well educated experienced doctors lab test on time,1
They took care of everything and made the patient feel absolutely comfortable.,1,4,78,12,they took care of everything and made the patient feel absolutely comfortable,1
I expect more professional attitude from the staffs We meet two doctors both are busy and allow less time for us.,1,3,113,21,i expect more professional attitude from the staffs we meet two doctors both are busy and allow less time for us,1
I really liked the overall experience The senior doctors are really qualified and accurate in their diagnosis/treatment.,1,4,120,17,i really liked the overall experience the senior doctors are really qualified and accurate in their diagnosistreatment,1
taking good care of the patient food service.,1,4,45,8,taking good care of the patient food service,1
Hospital is very good and quick treatment Satisfied with facility.,1,5,66,10,hospital is very good and quick treatment satisfied with facility,1
My respect and appreciation for all the nurses very caring Well done Aster.,1,5,75,13,my respect and appreciation for all the nurses very caring well done aster,1
Support service team has also have done their work nicely.,1,4,58,10,support service team has also have done their work nicely,1
We had one of the best services provided by the all the doctors and nursing staff specially trivani sister was the best at her service.,1,4,135,25,we had one of the best services provided by the all the doctors and nursing staff specially trivani sister was the best at her service,1
We are very much satisfied with the treatment During her stay in the hospital the Nursing staff,1,5,95,17,we are very much satisfied with the treatment during her stay in the hospital the nursing staff,1
The staff were very friendly and helpful,1,4,40,7,the staff were very friendly and helpful,1
I highly recommend Aster hospital for great patient care.,1,4,57,9,i highly recommend aster hospital for great patient care,1
The whole neurosurgery team is excellent and awesome Special thanks to Dr Nirmala and all other doctors at ICU who took care of me,1,4,130,24,the whole neurosurgery team is excellent and awesome special thanks to dr nirmala and all other doctors at icu who took care of me,1
All nursing staff and other staffs also co operated and took good care of us.,1,4,77,15,all nursing staff and other staffs also co operated and took good care of us,1
All the staff reception were very kind and responsive They were guiding me properly with the procedure,1,4,102,17,all the staff reception were very kind and responsive they were guiding me properly with the procedure,1
I am very happy with the service provided thank you,1,5,51,10,i am very happy with the service provided thank you,1
Manjari from canteen gave a good service to us She keeps the food on time.,1,5,74,15,manjari from canteen gave a good service to us she keeps the food on time,1
All over good service from hospital and staff Thank you Very much Aster CMI Hospital and staff.,1,5,95,17,all over good service from hospital and staff thank you very much aster cmi hospital and staff,1
Never seen this bad house keeping Even after multiple request they don't provide what is asked.,0,2,95,16,never seen this bad house keeping even after multiple request they dont provide what is asked,0
And the scanner bar code they have pasted everywhere for feedback link doesn't work.,1,3,84,14,and the scanner bar code they have pasted everywhere for feedback link doesnt work,1
We had a wonderful experience at Aster CMI Hospital during our medical visits for my father,1,4,91,16,we had a wonderful experience at aster cmi hospital during our medical visits for my father,1
All are cooperative and helpful Treatment is great and hospital is good.,1,5,72,12,all are cooperative and helpful treatment is great and hospital is good,1
The sisters here also take good care of patients and are polite to attenders.,1,5,77,14,the sisters here also take good care of patients and are polite to attenders,1
CCU security Mamatha is very polite and speaks multiple languages and is very friendly.,1,4,87,14,ccu security mamatha is very polite and speaks multiple languages and is very friendly,1
The facilities here are very good and you get the confidence that you will get treated well once you are here and go back healthy.,1,5,130,25,the facilities here are very good and you get the confidence that you will get treated well once you are here and go back healthy,1
the tests are very expensive and without insurance this will burn a hole in your pocket,1,3,87,16,the tests are very expensive and without insurance this will burn a hole in your pocket,1
I am extremely impressed with the services offered at Aster cmi Hospital.,1,4,73,12,i am extremely impressed with the services offered at aster cmi hospital,1
The facilities were modern and well-maintained creating a comfortable environment for patients,1,4,94,12,the facilities were modern and wellmaintained creating a comfortable environment for patients,1
I am immensely grateful for the positive experience and excellent medical care provided by Aster cmi Hospital,1,5,109,17,i am immensely grateful for the positive experience and excellent medical care provided by aster cmi hospital,1
We are very happy with the experience and will be grateful forever.,1,5,67,12,we are very happy with the experience and will be grateful forever,1
Thanks for the hospital we got good treatment.,1,4,46,8,thanks for the hospital we got good treatment,1
The patient gets hope and has complete faith that they will get treated and keep in good health.,1,5,96,18,the patient gets hope and has complete faith that they will get treated and keep in good health,1
I'm happy to choose to this hospital thank you so much everyone for you all good supporting,1,4,91,17,im happy to choose to this hospital thank you so much everyone for you all good supporting,1
Takes lots of time to give report.,1,5,34,7,takes lots of time to give report,1
they were really patient friendly and nursing care was really excellent.,1,4,72,11,they were really patient friendly and nursing care was really excellent,1
Aster hospital is excellent in Bangalore with all good services All are good and helpful.,1,5,89,15,aster hospital is excellent in bangalore with all good services all are good and helpful,1
Nursing staffs are very lazy,0,2,28,5,nursing staffs are very lazy,0
Floor coordinator John was very helpful and security ayang also very good.,1,4,74,12,floor coordinator john was very helpful and security ayang also very good,1
Worst working professional.,0,1,27,3,worst working professional,0
doctor Akshay sir and Pavan Kumar is kind good person he will treat the patient very nicely,1,4,91,17,doctor akshay sir and pavan kumar is kind good person he will treat the patient very nicely,1
the dining area is not maintained well dining area is too small.,1,3,64,12,the dining area is not maintained well dining area is too small,1
We are very much satisfied with his treatment he explained us the treatment we understood well.,1,5,95,16,we are very much satisfied with his treatment he explained us the treatment we understood well,1
There are multiple waiting rooms and cafes The hospital is very clean,1,5,69,12,there are multiple waiting rooms and cafes the hospital is very clean,1
Mamatha is very polite and speaks multiple languages and is very friendly Overall good service,1,5,94,15,mamatha is very polite and speaks multiple languages and is very friendly overall good service,1
We shall refer others as we are totally satisfied by the care and hospitality.,1,5,78,14,we shall refer others as we are totally satisfied by the care and hospitality,1
Today its our discharge and we are happy to leave from here.,1,5,60,12,today its our discharge and we are happy to leave from here,1
Thanks to Dr Umesh and team All other doctors siters and staff are come operative and supportive We are thankful for the treatment.,1,5,131,23,thanks to dr umesh and team all other doctors siters and staff are come operative and supportive we are thankful for the treatment,1
Medications and nursing staffs are very good and co operative we had a good experience in the hospital,1,4,102,18,medications and nursing staffs are very good and co operative we had a good experience in the hospital,1
staff is rude specially nurses and billing staff they behave as if they own hospital,0,2,84,15,staff is rude specially nurses and billing staff they behave as if they own hospital,0
they do not treat in emergency ward so that patient doesnâ€™t get well till they become potential in patient or customer.,0,1,121,21,they do not treat in emergency ward so that patient doesnt get well till they become potential in patient or customer,0
Thanks for the good treatment Nursing care its very good,1,4,56,10,thanks for the good treatment nursing care its very good,1
Great hospital Amazing doctors Dr Sahana took such good care of me Nurses and staff were very attentive.,1,5,104,18,great hospital amazing doctors dr sahana took such good care of me nurses and staff were very attentive,1
had delay with house keeping staff,0,2,34,6,had delay with house keeping staff,0
Lakshmi was very helpfull in arranging the scan APPRECIATE ALL HER EFFORT,1,4,73,12,lakshmi was very helpfull in arranging the scan appreciate all her effort,1
Housekeeping didnâ€™t respond for issues neither cared about our problems,0,2,73,10,housekeeping didnt respond for issues neither cared about our problems,0
Nurse Panchali in night duty very polite and friendly who makes patient to feel homely.,1,4,87,15,nurse panchali in night duty very polite and friendly who makes patient to feel homely,1
no emergency attenders are there.,0,2,33,5,no emergency attenders are there,0
No nurse or staff responded well or gave any first aid.,0,1,55,11,no nurse or staff responded well or gave any first aid,0
I had a very sensitive and caring experience with my dad,1,4,56,11,i had a very sensitive and caring experience with my dad,1
This is the first ever worst experience for us on the hospital.,0,2,63,12,this is the first ever worst experience for us on the hospital,0
Dr Rajini ma'am treated us very well Aster has best facility for the patients,1,5,77,14,dr rajini maam treated us very well aster has best facility for the patients,1
The surgery was really good Everything went well He is doing good after surgery We are happy,1,4,92,17,the surgery was really good everything went well he is doing good after surgery we are happy,1
Hospital infrastructure is extremely good.,1,4,42,5,hospital infrastructure is extremely good,1
Food given to patients and attenders during BMT was below average and did not meet nutritional requirements,1,3,107,17,food given to patients and attenders during bmt was below average and did not meet nutritional requirements,1
doctor was very arrogant and almost behaved like a hooligan People like him should not be a doctor,0,2,98,18,doctor was very arrogant and almost behaved like a hooligan people like him should not be a doctor,0
journey in this hospital went smoothly and we are very happy with her treatment and the friendly nature of the staff.,1,4,117,21,journey in this hospital went smoothly and we are very happy with her treatment and the friendly nature of the staff,1
Staff from nursing to housekeeping were all really nice and professional.,1,4,73,11,staff from nursing to housekeeping were all really nice and professional,1
Thank you all for your prompt actions which is leading the way for my aunts recovery.,1,4,85,16,thank you all for your prompt actions which is leading the way for my aunts recovery,1
They provide good and quality care Nurses are very friendly and equipments are good.,1,5,84,14,they provide good and quality care nurses are very friendly and equipments are good,1
All doctors and staff are co operative Security Jyothi lakshmi has done good job.,1,5,81,14,all doctors and staff are co operative security jyothi lakshmi has done good job,1
very good about diet and she gave very good diet plan for my disease.,1,5,69,14,very good about diet and she gave very good diet plan for my disease,1
I had a good experience with aster staff Exclent doctors Nurses Lactation department Dietician Nursing aids,1,5,107,16,i had a good experience with aster staff exclent doctors nurses lactation department dietician nursing aids,1
Very good treatment received Thanks to Sir Sri P R Dayanidhi and Ishika Security Ayang Madam from Arunachal,1,5,107,18,very good treatment received thanks to sir sri p r dayanidhi and ishika security ayang madam from arunachal,1
The nursing staff is very good and polite and we felt very comfortable Thank you very much for the all the support and care,1,5,123,24,the nursing staff is very good and polite and we felt very comfortable thank you very much for the all the support and care,1
overall good treatment and excellent doctor and nursing staffs.,1,5,63,9,overall good treatment and excellent doctor and nursing staffs,1
Thanks to all doctors team Treatment is wonderful We are completely satisfied,1,5,77,12,thanks to all doctors team treatment is wonderful we are completely satisfied,1
Rude doctors Rude physiotherapists Rude staff Inexperienced nurses,0,2,66,8,rude doctors rude physiotherapists rude staff inexperienced nurses,0
The billing and admission department people have no heart and they are very rude.,0,1,81,14,the billing and admission department people have no heart and they are very rude,0
The doctor who conducted my fatherâ€™s surgery was rude as well and spoke arrogantly with us.,0,2,93,16,the doctor who conducted my fathers surgery was rude as well and spoke arrogantly with us,0
Nursing staffs are also really in their care and treatment Support services team also was good.,1,4,95,16,nursing staffs are also really in their care and treatment support services team also was good,1
Dr Nishta performed my colposcopy and biopsy so effortlessly made me feel very comfortable.,1,4,91,14,dr nishta performed my colposcopy and biopsy so effortlessly made me feel very comfortable,1
Thank you once again for your exceptional service and for making my ACL surgery experience a positive one.,1,5,106,18,thank you once again for your exceptional service and for making my acl surgery experience a positive one,1
Doctor treatment is good nurse caring is good and support services is very excellent.,1,4,85,14,doctor treatment is good nurse caring is good and support services is very excellent,1
If you don't have insurance please don't choose this hospital.,1,3,62,10,if you dont have insurance please dont choose this hospital,1
Good working is housekeeping department room and restroom cleaning is nice especially Staff.,1,4,92,13,good working is housekeeping department room and restroom cleaning is nice especially staff,1
Dietician Aruna Devi explained very well we are very much satisfied with her counseling she had given diet plan very helpfull Thank you.,1,5,136,23,dietician aruna devi explained very well we are very much satisfied with her counseling she had given diet plan very helpfull thank you,1
Doctor treatmentnurse curing and Cleaning department are very excellent especially hk staff.,1,5,92,12,doctor treatmentnurse curing and cleaning department are very excellent especially hk staff,1
Nursing service also good Thanks for over all Thank for Ortho team.,1,5,67,12,nursing service also good thanks for over all thank for ortho team,1
They have confirm me appointment for but nobody is responding.,0,2,62,10,they have confirm me appointment for but nobody is responding,0
It is a bad experience Overall.,0,2,31,6,it is a bad experience overall,0
The Doctor didn't had time to listen to my issues nor could explain to me on the treatment options,0,2,98,19,the doctor didnt had time to listen to my issues nor could explain to me on the treatment options,0
Complete failure of hospital management system and foundational patient communication training.,0,2,95,11,complete failure of hospital management system and foundational patient communication training,0
Very poor behaviour and attitude displayed by doctor Dr Ashwin Kr.,0,1,66,11,very poor behaviour and attitude displayed by doctor dr ashwin kr,0
This is worst hospital In two months my father admitted thrice and yet doctor can not find out what is the issue.,0,1,113,22,this is worst hospital in two months my father admitted thrice and yet doctor can not find out what is the issue,0
Discharge procedures are so slow mainly because of the nurses due to lack of understanding and importance of patients.,0,2,118,19,discharge procedures are so slow mainly because of the nurses due to lack of understanding and importance of patients,0
And also Sister Leema was very helpful in explaining the insurance and was kind.,1,5,80,14,and also sister leema was very helpful in explaining the insurance and was kind,1
Diagnosis treatment and care are good It is a big organisation Cost is bit on the higher side Discharge process was not smooth.,1,3,127,23,diagnosis treatment and care are good it is a big organisation cost is bit on the higher side discharge process was not smooth,1
The ward was also very clean and well maintained.,1,5,49,9,the ward was also very clean and well maintained,1
My mother was treated by Dr Vivek Padegal and team The pulmonologist team did a very thorough diagnosis and suggested the best course of treatment.,1,4,147,25,my mother was treated by dr vivek padegal and team the pulmonologist team did a very thorough diagnosis and suggested the best course of treatment,1
Diagnosis treatment and care are good.,1,5,38,6,diagnosis treatment and care are good,1
Amazing service,1,5,15,2,amazing service,1
Good,1,4,4,1,good,1
It is a big organisation and a large team of doctors and supporting staffs doing a decent job! Cost is bit on the higher side. ,1,5,127,25,it is a big organisation and a large team of doctors and supporting staffs doing a decent job cost is bit on the higher side,1
I'm very happy with this services.,1,5,34,6,im very happy with this services,1
Food quality at hospital needs improvement Otherwise excellent service from doctor and hexa buddies.,1,3,100,14,food quality at hospital needs improvement otherwise excellent service from doctor and hexa buddies,1
Nirmala was co ordinated my son's case very knowledgeable and end end supported i strongly recommend to hexa health.,1,5,116,19,nirmala was co ordinated my sons case very knowledgeable and end end supported i strongly recommend to hexa health,1
The timing of admission and discharge for insurance patients can be provided with more clarity.,1,4,95,15,the timing of admission and discharge for insurance patients can be provided with more clarity,1
Good service by dilip kumar,1,4,27,5,good service by dilip kumar,1
So worst experience.,0,1,20,3,so worst experience,0
the reception guys are worst They make you wait like hell.,0,1,58,11,the reception guys are worst they make you wait like hell,0
Met Dr Sagar C in Pulmonology We are very grateful to him for his apt guidance Online appointment booking was helpful too parking was a challenge though.,1,4,153,27,met dr sagar c in pulmonology we are very grateful to him for his apt guidance online appointment booking was helpful too parking was a challenge though,1
The only great doctor that is available and genuine is Sujith MS If not for Sujith MS don't even visit this hospital.,1,3,117,22,the only great doctor that is available and genuine is sujith ms if not for sujith ms dont even visit this hospital,1
Went to Narayana hospital to visit obstetrician Dr Janani sarvanan She is literally a God totally invisible and forever unavailable.,0,1,132,20,went to narayana hospital to visit obstetrician dr janani sarvanan she is literally a god totally invisible and forever unavailable,0
Good service by Dr jagadish in helping us in resolving our issues dilip Kumar In co ordinating,1,5,94,17,good service by dr jagadish in helping us in resolving our issues dilip kumar in co ordinating,1
Found excellent service by Rajeshwari from billling and MOD Soojanya I would extend my thanks for wonderful support and help.,1,5,125,20,found excellent service by rajeshwari from billling and mod soojanya i would extend my thanks for wonderful support and help,1
Good service from erasree Peacefull hospital Patient will be recover fast.,1,5,74,11,good service from erasree peacefull hospital patient will be recover fast,1
Good service by dilip kumar.,1,4,28,5,good service by dilip kumar,1
Dr Sujith treatment is very good He will analyse disease from the report for better cure.,1,5,89,16,dr sujith treatment is very good he will analyse disease from the report for better cure,1
 I really liked the service there Thanks to the Emergency doctor abhishek and Thanks to the security guard there.,1,5,113,19,i really liked the service there thanks to the emergency doctor abhishek and thanks to the security guard there,1
Good hospital.,1,4,14,2,good hospital,1
Good service by Dilip in helping us in consultation.,1,5,52,9,good service by dilip in helping us in consultation,1
Was satisfied with test and time taken for that approximately she would have explained all details of the test conducted which did not only in 5 minutes she completed.,1,3,167,29,was satisfied with test and time taken for that approximately she would have explained all details of the test conducted which did not only in minutes she completed,1
